kum,nog,tat,lzg,agh,tab,rut,tkh,arc,lak,drgw,ava,khv,kar
31,28,32,40,45,46,44,50,63,45,44,49,51,56
32,32,30,41,46,46,43,50,59,46,46,48,50,56
30,29,31,40,48,43,42,46,54,46,43,47,49,54
30,30,30,43,48,47,45,52,58,45,47,48,48,54
31,30,30,41,49,44,44,49,58,47,46,47,47,55
31,31,30,40,47,45,42,48,57,46,47,47,51,55
31,31,30,44,47,47,44,50,58,45,46,46,53,57
30,31,31,43,47,47,43,47,58,47,47,46,51,54
31,30,31,43,46,47,46,49,58,45,47,47,54,56
29,30,31,41,45,44,41,49,59,47,49,44,54,56
32,31,30,43,46,46,37,50,59,45,47,47,51,51
31,32,30,40,50,45,43,46,58,45,47,48,53,55
31,28,31,44,48,45,44,46,60,48,47,47,53,57
32,30,32,41,49,46,42,49,56,46,45,46,53,50
31,31,30,41,47,45,40,47,61,46,47,44,53,56
30,30,31,42,50,46,41,47,59,46,47,48,53,56
30,30,32,44,48,45,43,50,57,47,46,46,54,56
33,29,30,40,46,44,44,46,57,46,49,49,52,58
31,32,30,43,46,48,46,51,58,47,46,46,54,52
32,30,32,41,45,47,43,48,58,45,43,45,47,54
29,27,29,42,46,45,42,47,59,46,47,50,55,54
30,28,33,43,49,45,43,46,59,47,45,45,52,54
29,31,31,42,49,43,43,45,58,47,45,50,49,56
31,30,31,41,48,44,40,46,61,45,50,47,53,56
29,31,31,41,46,45,44,48,61,45,43,45,53,59
30,30,31,40,47,43,43,51,59,46,45,48,51,57
32,28,30,43,47,42,40,48,57,46,47,46,49,55
32,33,32,38,46,47,38,46,58,45,47,47,52,57
30,29,29,41,49,45,42,47,56,44,47,48,51,54
30,29,29,42,47,43,40,46,61,47,46,46,52,54
29,32,29,41,49,46,44,50,58,45,45,47,47,54
29,31,29,41,51,44,42,47,58,46,45,48,50,55
30,30,33,43,47,44,42,49,58,45,49,47,50,51
29,29,31,41,47,45,38,49,56,44,45,48,47,58
30,30,30,41,47,46,39,47,59,44,46,48,52,55
30,29,30,39,46,46,40,51,58,47,48,47,52,54
31,29,31,41,48,44,40,50,60,44,51,49,49,52
30,30,31,44,46,49,44,51,60,47,44,48,56,54
30,28,31,40,48,45,43,52,59,46,47,45,52,53
30,30,32,43,45,45,44,46,57,46,50,48,55,59
30,31,30,40,46,45,41,45,55,45,47,47,49,54
30,30,31,41,45,42,39,48,60,46,41,46,48,55
30,30,29,42,46,44,43,50,59,47,51,48,50,55
31,30,30,42,48,46,44,48,60,46,46,48,51,53
30,30,29,41,47,48,43,50,59,46,47,47,53,53
30,29,32,40,48,43,43,48,60,47,46,46,53,57
32,33,29,40,49,45,42,46,61,47,47,45,51,56
30,31,30,42,44,46,41,47,59,47,49,47,49,54
31,32,31,40,50,45,43,47,57,46,46,47,55,56
30,30,31,41,49,44,41,51,58,48,48,46,54,57
30,30,29,42,49,47,41,45,56,47,46,45,51,56
31,30,31,42,42,49,43,47,57,47,49,49,55,55
29,31,30,41,49,44,44,49,60,46,47,47,52,57
31,29,29,42,47,45,43,46,59,47,46,49,50,54
29,28,29,42,43,45,40,50,60,44,47,50,51,54
29,30,30,43,48,48,42,50,57,44,44,45,50,56
29,29,30,41,47,44,42,48,54,43,44,46,50,55
29,30,30,42,48,46,37,50,58,45,48,45,56,55
31,31,30,42,47,46,44,48,59,44,44,47,48,57
31,31,29,40,50,46,41,47,59,46,45,46,48,54
29,33,29,42,49,43,44,46,57,45,47,47,49,56
30,29,29,41,46,45,44,53,58,45,50,45,51,57
31,29,31,40,49,44,43,47,59,47,44,46,53,52
30,28,32,41,47,45,45,50,55,47,47,49,53,54
30,28,30,41,46,45,42,46,59,46,47,46,48,55
29,30,31,42,48,46,40,48,58,46,42,49,51,54
30,29,30,40,45,43,44,47,56,47,45,44,55,57
30,29,29,40,51,45,44,47,59,47,41,49,51,55
30,30,29,42,49,42,43,48,62,43,46,50,51,54
30,30,30,41,47,47,41,50,56,44,47,46,54,57
31,30,30,43,50,48,42,48,59,47,46,47,53,54
30,32,31,41,46,46,44,46,61,46,48,46,51,56
29,29,30,43,48,44,41,46,59,45,45,46,50,56
30,31,30,42,51,46,41,48,58,46,46,46,49,53
31,28,30,41,45,45,43,46,59,47,50,48,51,54
29,29,30,41,50,46,46,49,58,43,44,47,52,55
30,30,31,41,48,46,45,50,60,43,49,48,48,59
30,30,34,40,46,45,38,51,56,45,49,48,52,55
31,28,31,40,45,45,41,50,62,45,50,47,52,55
31,31,31,43,48,44,40,47,58,47,46,46,53,57
32,30,31,42,47,43,42,47,57,46,46,47,51,55
31,29,29,43,48,43,41,50,59,45,45,47,52,54
32,30,31,42,47,43,38,48,60,44,51,47,53,50
30,30,29,45,49,43,41,48,61,47,49,46,51,55
30,29,31,40,50,45,40,47,58,45,43,45,48,55
30,30,31,41,47,45,44,49,60,45,47,46,53,52
33,30,30,40,46,44,43,53,59,46,46,47,52,51
31,28,30,41,43,45,40,50,59,46,46,50,52,53
30,30,29,39,50,42,43,51,55,45,45,46,49,58
30,29,30,44,47,47,43,45,61,46,41,47,49,53
30,32,33,45,48,48,42,51,56,46,45,48,55,54
30,31,30,42,50,47,39,50,56,43,48,45,51,56
30,30,31,40,48,44,40,46,58,44,50,49,48,55
32,28,30,42,47,42,43,45,55,46,47,48,50,54
30,28,31,43,50,46,44,50,58,49,46,46,49,55
31,29,29,41,46,45,44,49,59,47,45,46,55,57
31,30,29,40,49,46,44,47,54,44,47,48,50,56
31,32,30,42,45,43,43,50,60,45,47,43,47,55
30,29,30,43,45,46,38,49,56,46,45,48,53,56
31,29,30,41,46,46,41,45,58,47,45,42,50,52
31,28,32,42,49,47,40,48,60,44,46,46,53,51
30,31,31,41,47,44,38,47,55,44,50,47,51,56
33,29,30,44,49,45,42,50,58,46,45,45,52,53
31,27,30,44,47,45,42,47,56,43,49,48,48,54
29,29,31,42,44,44,44,43,61,46,47,44,54,54
31,29,30,41,46,45,42,52,59,46,43,45,50,56
29,30,30,41,44,44,41,51,58,45,48,49,54,54
31,30,31,40,46,46,41,51,58,46,44,46,54,55
30,29,32,42,47,49,41,47,59,45,48,45,53,56
30,30,31,41,48,44,41,46,59,48,50,48,53,53
30,28,31,40,47,48,40,45,57,44,46,50,52,57
30,31,31,43,49,46,40,50,59,47,46,48,55,56
31,31,30,40,46,48,44,46,61,44,47,46,52,55
30,29,30,41,49,43,43,43,62,48,48,50,52,58
29,31,30,41,51,46,43,54,57,45,46,48,52,55
31,30,30,41,46,46,43,51,61,45,45,48,54,53
29,29,30,43,46,46,42,48,61,42,45,46,51,54
29,29,31,40,50,45,37,46,56,44,44,46,51,56
29,29,29,42,46,46,43,49,60,45,49,47,53,54
30,30,32,40,50,44,40,49,58,46,51,46,52,52
32,30,31,42,48,46,42,48,60,47,47,51,52,54
30,31,30,44,46,47,38,46,62,45,45,44,49,52
29,30,31,39,48,44,43,49,60,46,48,47,51,52
32,29,30,45,49,50,42,49,58,46,49,47,55,55
29,29,30,40,45,45,45,51,59,49,45,44,57,54
30,31,32,41,52,44,44,51,58,47,46,50,52,55
32,29,31,41,52,43,45,46,57,45,45,45,54,55
31,31,30,40,48,46,41,45,57,45,46,47,55,54
31,29,32,43,49,45,42,46,58,44,48,47,53,57
31,30,31,41,48,48,44,50,57,43,47,47,52,56
29,29,32,42,49,44,41,48,60,44,45,47,55,56
30,30,31,39,46,43,40,49,61,46,44,47,50,56
30,30,29,41,45,46,40,48,59,46,46,45,50,55
30,29,30,42,47,42,43,50,56,46,49,48,48,56
31,29,30,39,54,47,43,50,57,45,48,46,50,57
31,28,30,39,50,43,43,42,59,46,45,48,55,52
29,31,29,41,50,43,40,49,58,47,47,45,51,57
30,30,31,41,46,44,41,46,59,44,46,48,52,53
32,30,30,42,49,47,45,45,58,47,47,46,50,54
32,29,31,43,47,44,44,46,56,47,44,46,51,54
29,29,31,42,50,45,39,51,59,46,49,49,52,55
29,33,30,44,45,45,40,53,56,45,47,48,51,53
