['bethsaida', 2]
['needed', 2]
['afternoon', 2]
['villages', 2]
['buy', 2]
['picked', 2]
['pieces', 2]
['deny', 2]
['daily', 2]
['gain', 2]
['taste', 2]
['appearance', 2]
['delivered', 2]
['started', 2]
['beside', 2]
['bury', 2]
['fit', 2]
['seventy-two', 2]
['workers', 2]
['move', 2]
['offered', 2]
['bearable', 2]
['sodom', 2]
['miracles', 2]
['performed', 2]
['repented', 2]
['lifted', 2]
['hades', 2]
['listens', 2]
['submit', 2]
['wise', 2]
['committed', 2]
['expert', 2]
['inherit', 2]
['justify', 2]
['reply', 2]
['passed', 2]
['donkey', 2]
['likewise', 2]
['knocks', 2]
['mute', 2]
['followers', 2]
['upon', 2]
['safe', 2]
['worse', 2]
['nursed', 2]
['part', 2]
['dark', 2]
['noticed', 2]
['greed', 2]
['foolish', 2]
['tenth', 2]
['garden', 2]
['seats', 2]
['market-places', 2]
['persecute', 2]
['responsible', 2]
['oppose', 2]
['gathered', 2]
['yeast', 2]
['sparrows', 2]
['numbered', 2]
['defend', 2]
['divide', 2]
['inheritance', 2]
['store', 2]
['reap', 2]
['wild', 2]
['thief', 2]
['wedding', 2]
['beaten', 2]
['punishment', 2]
['kindled', 2]
['daughter-in-law', 2]
['west', 2]
['hypocrites', 2]
['interpret', 2]
['officer', 2]
['mixed', 2]
['tower', 2]
['dig', 2]
['ox', 2]
['humiliated', 2]
['delighted', 2]
['mustard', 2]
['gets', 2]
['evildoers', 2]
['isaac', 2]
['longed', 2]
['exalt', 2]
['humbled', 2]
['humble', 2]
['exalted', 2]
['bought', 2]
['please', 2]
['excuse', 2]
['angry', 2]
['finish', 2]
['delegation', 2]
['ninety-nine', 2]
['joyfully', 2]
['rejoicing', 2]
['repents', 2]
['coins', 2]
['younger', 2]
['distant', 2]
['squandered', 2]
['sinned', 2]
['robe', 2]
['elder', 2]
['refused', 2]
['job', 2]
['houses', 2]
['owe', 2]
['bill', 2]
['worldly', 2]
['preached', 2]
['marries', 2]
['commits', 2]
['beggar', 2]
['sores', 2]
['torment', 2]
['agony', 2]
['tied', 2]
['rebuke', 2]
['supper', 2]
['thank', 2]
['noah', 2]
['destroyed', 2]
['selling', 2]
['grant', 2]
['finally', 2]
['putting', 2]
['week', 2]
['commit', 2]
['lack', 2]
['wealthy', 2]
['happening', 2]
['passing', 2]
['shouted', 2]
['minas', 2]
['earned', 2]
['matter', 2]
['cities', 2]
['cloth', 2]
['bethany', 2]
['needs', 2]
['cloaks', 2]
['wept', 2]
['hung', 2]
['human', 2]
['origin', 2]
['empty-handed', 2]
['respect', 2]
['close', 2]
['spies', 2]
['taxes', 2]
['trap', 2]
['considered', 2]
['psalms', 2]
['frightened', 2]
['mountains', 2]
['sun', 2]
['anguish', 2]
['certainly', 2]
['evening', 2]
['unleavened', 2]
['officers', 2]
['betray', 2]
['consented', 2]
['crows', 2]
['reaching', 2]
['rose', 2]
['leading', 2]
['rebellion', 2]
['seated', 2]
['later', 2]
['galilean', 2]
['remembered', 2]
['council', 2]
['basis', 2]
['mocked', 2]
['barabbas', 2]
['insurrection', 2]
['crucify', 2]
['shouts', 2]
['including', 2]
['breasts', 2]
['spices', 2]
['faces', 2]
['risen', 2]
['eleven', 2]
['ghost', 2]
['minds', 2]
['undertaken', 1]
['draw', 1]
['investigated', 1]
['write', 1]
['orderly', 1]
['excellent', 1]
['theophilus', 1]
['certainty', 1]
['priestly', 1]
['abijah', 1]
['aaron', 1]
['observing', 1]
['decrees', 1]
['blamelessly', 1]
['serving', 1]
['priesthood', 1]
['worshippers', 1]
['gripped', 1]
['delight', 1]
['fermented', 1]
['disobedient', 1]
['happens', 1]
['realised', 1]
['making', 1]
['seclusion', 1]
['disgrace', 1]
['pregnancy', 1]
['throne', 1]
['descendants', 1]
['overshadow', 1]
['relative', 1]
['exclaimed', 1]
['believed', 1]
['fulfil', 1]
['promises', 1]
['shared', 1]
['writing', 1]
['tablet', 1]
['astonishment', 1]
['prophesied', 1]
['augustus', 1]
['issued', 1]
['decree', 1]
['entire', 1]
['roman', 1]
['quirinius', 1]
['syria', 1]
['line', 1]
['available', 1]
['flocks', 1]
['shone', 1]
['terrified', 1]
['saviour', 1]
['rests', 1]
['pondered', 1]
['glorifying', 1]
['conceived', 1]
['purification', 1]
['rites', 1]
['male', 1]
['sacrifice', 1]
['pair', 1]
['doves', 1]
['pigeons', 1]
['devout', 1]
['consolation', 1]
['moved', 1]
['marvelled', 1]
['destined', 1]
['pierce', 1]
['anna', 1]
['penuel', 1]
['tribe', 1]
['asher', 1]
['husband', 1]
['eighty-four', 1]
['fasting', 1]
['grace', 1]
['returning', 1]
['unaware', 1]
['understanding', 1]
['anxiously', 1]
['obedient', 1]
['stature', 1]
['fifteenth', 1]
['tiberius', 1]
['pontius', 1]
['iturea', 1]
['traconitis', 1]
['lysanias', 1]
['abilene', 1]
['high-priesthood', 1]
['annas', 1]
['caiaphas', 1]
['paths', 1]
['valley', 1]
['low', 1]
['crooked', 1]
['rough', 1]
['ways', 1]
['smooth', 1]
['brood', 1]
['vipers', 1]
['axe', 1]
['shirts', 1]
['collect', 1]
['extort', 1]
['falsely', 1]
['content', 1]
['expectantly', 1]
['possibly', 1]
['straps', 1]
['winnowing', 1]
['fork', 1]
['clear', 1]
['threshing-floor', 1]
['chaff', 1]
['unquenchable', 1]
['exhorted', 1]
['herodias', 1]
['added', 1]
['descended', 1]
['bodily', 1]
['form', 1]
['dove', 1]
['ministry', 1]
['forty', 1]
['tempted', 1]
['instant', 1]
['kingdoms', 1]
['point', 1]
['command', 1]
['tempting', 1]
['opportune', 1]
['unrolling', 1]
['anointed', 1]
['freedom', 1]
['recovery', 1]
['oppressed', 1]
['attendant', 1]
['fastened', 1]
['scripture', 1]
['gracious', 1]
['isn', 1]
['quote', 1]
['proverb', 1]
['physician', 1]
['accepted', 1]
['assure', 1]
['shut', 1]
['zarephath', 1]
['elisha', 1]
['naaman', 1]
['syrian', 1]
['drove', 1]
['brow', 1]
['cliff', 1]
['possessed', 1]
['sternly', 1]
['injuring', 1]
['gives', 1]
['area', 1]
['sunset', 1]
['illness', 1]
['laying', 1]
['moreover', 1]
['allow', 1]
['gennesaret', 1]
['fishermen', 1]
['washing', 1]
['belonging', 1]
['break', 1]
['signalled', 1]
['sink', 1]
['knees', 1]
['zebedee', 1]
['pulled', 1]
['cleansing', 1]
['lonely', 1]
['lowered', 1]
['tiles', 1]
['blasphemy', 1]
['remarkable', 1]
['booth', 1]
['sect', 1]
['complained', 1]
['doctor', 1]
['match', 1]
['pours', 1]
['burst', 1]
['skins', 1]
['run', 1]
['cornfields', 1]
['rub', 1]
['unlawful', 1]
['reason', 1]
['stretch', 1]
['completely', 1]
['restored', 1]
['discuss', 1]
['mountainside', 1]
['chose', 1]
['designated', 1]
['andrew', 1]
['bartholomew', 1]
['matthew', 1]
['thomas', 1]
['alphaeus', 1]
['zealot', 1]
['traitor', 1]
['level', 1]
['coastal', 1]
['hunger', 1]
['exclude', 1]
['reject', 1]
['leap', 1]
['comfort', 1]
['fed', 1]
['mourn', 1]
['bless', 1]
['curse', 1]
['ill-treat', 1]
['slaps', 1]
['cheek', 1]
['coat', 1]
['withhold', 1]
['repayment', 1]
['ungrateful', 1]
['condemned', 1]
['pressed', 1]
['lap', 1]
['measured', 1]
['pit', 1]
['student', 1]
['trained', 1]
['sawdust', 1]
['attention', 1]
['hypocrite', 1]
['clearly', 1]
['remove', 1]
['figs', 1]
['thorn-bushes', 1]
['grapes', 1]
['briers', 1]
['dug', 1]
['collapsed', 1]
['destruction', 1]
['valued', 1]
['trouble', 1]
['following', 1]
['afterwards', 1]
['nain', 1]
['bier', 1]
['bearers', 1]
['talk', 1]
['report', 1]
['deaf', 1]
['reed', 1]
['swayed', 1]
['expensive', 1]
['indulge', 1]
['palaces', 1]
['messenger', 1]
['acknowledged', 1]
['purpose', 1]
['market-place', 1]
['played', 1]
['pipe', 1]
['dance', 1]
['sang', 1]
['dirge', 1]
['alabaster', 1]
['touching', 1]
['money-lender', 1]
['forgave', 1]
['debts', 1]
['debt', 1]
['kissing', 1]
['forgives', 1]
['chuza', 1]
['household', 1]
['susanna', 1]
['helping', 1]
['support', 1]
['means', 1]
['farmer', 1]
['scattering', 1]
['withered', 1]
['moisture', 1]
['sown', 1]
['secrets', 1]
['parables', 1]
['testing', 1]
['worries', 1]
['pleasures', 1]
['mature', 1]
['retain', 1]
['persevering', 1]
['hides', 1]
['clay', 1]
['squall', 1]
['swamped', 1]
['danger', 1]
['woke', 1]
['drown', 1]
['raging', 1]
['waters', 1]
['storm', 1]
['subsided', 1]
['calm', 1]
['winds', 1]
['across', 1]
['stepped', 1]
['ashore', 1]
['worn', 1]
['torture', 1]
['chained', 1]
['chains', 1]
['driven', 1]
['legion', 1]
['repeatedly', 1]
['abyss', 1]
['feeding', 1]
['hillside', 1]
['permission', 1]
['rushed', 1]
['steep', 1]
['bank', 1]
['drowned', 1]
['tending', 1]
['girl', 1]
['dying', 1]
['crushed', 1]
['subject', 1]
['pressing', 1]
['unnoticed', 1]
['trembling', 1]
['instantly', 1]
['anymore', 1]
['arrived', 1]
['mourning', 1]
['laughed', 1]
['cure', 1]
['staff', 1]
['everywhere', 1]
['perplexed', 1]
['beheaded', 1]
['late', 1]
['lodging', 1]
['remote', 1]
['groups', 1]
['distribute', 1]
['basketfuls', 1]
['private', 1]
['strictly', 1]
['forfeit', 1]
