['унижающий', 2]
['ужин', 2]
['зови', 2]
['соседей', 2]
['богатых', 2]
['нищих', 2]
['увечных', 2]
['хромых', 2]
['слепых', 2]
['воздать', 2]
['вкусит', 2]
['звал', 2]
['ужина', 2]
['купил', 2]
['извини', 2]
['господину', 2]
['рабу', 2]
['избранных', 2]
['сестер', 2]
['сядет', 2]
['тысячами', 2]
['далеко', 2]
['посольство', 2]
['соль', 2]
['девяноста', 2]
['девяти', 2]
['созовет', 2]
['порадуйтесь', 2]
['грешнике', 2]
['кающемся', 2]
['драхму', 2]
['младший', 2]
['дальнюю', 2]
['наемников', 2]
['согрешил', 2]
['называться', 2]
['шею', 2]
['веселиться', 2]
['мертв', 2]
['ожил', 2]
['пропадал', 2]
['нашелся', 2]
['заколол', 2]
['надобно', 2]
['управителя', 2]
['управление', 2]
['стыжусь', 2]
['домы', 2]
['мер', 2]
['расписку', 2]
['напиши', 2]
['сыны', 2]
['верен', 2]
['верны', 2]
['земля', 2]
['пропадет', 2]
['женящийся', 2]
['прелюбодействует', 2]
['нищий', 2]
['лазарь', 2]
['приходя', 2]
['лазаря', 2]
['аврааме', 2]
['конец', 2]
['моисея', 2]
['приходят', 2]
['согрешит', 2]
['очистились', 2]
['прославляя', 2]
['ходите', 2]
['боялся', 2]
['вскоре', 2]
['боже', 2]
['глаз', 2]
['грудь', 2]
['войдет', 2]
['заповеди', 2]
['продай', 2]
['опечалился', 2]
['впереди', 2]
['рабов', 2]
['оборот', 2]
['вслед', 2]
['второй', 2]
['жестокий', 2]
['клал', 2]
['далее', 2]
['вифании', 2]
['называемой', 2]
['елеонскою', 2]
['отвязываете', 2]
['надобен', 2]
['осленка', 2]
['заплакал', 2]
['старейшины', 2]
['слушал', 2]
['поверили', 2]
['камнями', 2]
['знаем', 2]
['виноградник', 2]
['виноградарям', 2]
['виноградари', 2]
['прибив', 2]
